,Socioeconomic Level,Average Monthly Income (Operational),Average Monthly Income (Administrative)
0,E,4053.067694668201,4203.409356521739
1,D,7073.621646847655,8528.372696113074
2,D+,19988.165035971222,17833.05325980392
3,C-,28748.744545454545,29226.35537313433
4,C,41075.49375,38813.69375
5,C+,55485.329999999994,54349.93523809523
6,A/B,116014.37,97062.39866666666
