Region,Stratum ID,Average Daily Salary (Operational),Average Daily Salary (Administrative)
	 ,1.0,257.98104542013624,364.4058349735049
	 ,2.0,280.410179138322,414.6924580498866
	 ,3.0,349.48271166134185,522.8623059105431
	 ,4.0,413.0423786591124,636.0106798866856
	 ,99.0,367.33871169354836,631.0548850806451
