,Percentage (Operational),Percentage (Administrative)
Low,92.19371655919879,64.59047880367677
Middle-Low,5.583756345177665,30.072712306214843
Middle-High,1.7286321854849775,4.211826039237207
High,0.49389491013856496,1.1249828508711757
